id,CODIGO_SEC,SECTO1_1993,SECTO2_1993,SECTO3_1993,SECTO4_1993,SECTO5_1993,SECTO6_1993,SECTO1_2005,SECTO2_2005,SECTO3_2005,SECTO4_2005,SECTO5_2005,SECTO6_2005
354,1100115611,23,39,259,688,507,254,76,85,633,682,489,347
355,1100115612,117,299,671,1056,727,336,60,389,1010,1383,427,313
356,1100115613,4,9,82,354,287,151,1,139,345,526,120,109
357,1100115614,99,195,625,1483,1018,577,144,172,676,1818,840,424
358,1100115615,152,310,534,553,240,102,90,381,1035,856,374,126
359,1100115616,333,636,1112,1066,426,207,379,1074,810,1349,635,332
360,1100115617,193,482,897,1058,398,181,60,562,772,1395,243,177
361,1100115618,44,152,556,874,483,225,56,167,442,1058,403,141
362,1100115619,218,506,1055,1432,674,337,203,820,982,1214,209,240
363,1100115620,156,315,749,875,278,107,268,476,543,972,544,127
364,1100115621,581,1132,1759,1240,396,167,608,2382,2910,1731,324,320
365,1100115622,208,429,1547,3471,2549,1506,101,822,2691,3609,2331,1037
366,1100115623,111,254,785,908,274,116,145,489,983,1400,431,65
367,1100115624,12,13,22,16,6,4,4,5,89,88,33,25
368,1100115625,51,75,288,1011,847,422,79,215,451,1421,681,522
369,1100115626,37,74,286,592,449,267,0,61,406,1161,646,242
370,1100115627,165,413,987,1129,376,107,118,183,1355,870,437,106
371,1100115628,88,274,695,922,412,158,309,336,859,682,188,215
372,1100115629,277,572,1041,1250,749,408,1222,1952,4573,4909,1803,815
373,1100115630,409,897,1483,1049,250,91,476,1816,4678,2481,1289,245
374,1100115631,232,372,546,320,72,54,411,1547,2527,2293,540,58
375,1100115632,214,350,500,347,80,36,537,1420,2958,2095,605,68
376,1100115633,60,130,796,2430,1793,797,72,259,2154,3594,2020,694
377,1100115634,19,61,252,952,855,466,167,1,564,1758,1305,780
378,1100115635,53,115,413,1192,966,526,1,155,1013,1951,1369,509
379,1100115636,46,53,498,2606,2590,1375,7,96,1049,6443,5929,1905
380,1100115637,331,660,1724,2475,964,422,359,1097,1947,3479,596,452
381,1100115638,0,0,0,0,0,0,0,0,0,1,0,0
382,1100115639,0,0,0,0,0,0,0,0,0,1,0,0
383,1100116101,17,33,74,147,128,97,11,87,96,132,105,34
384,1100116102,6,12,20,36,14,13,8,11,34,37,23,12
385,1100116103,152,272,637,891,511,342,625,734,1193,1090,333,206
386,1100116104,129,209,343,415,274,245,314,274,467,473,239,92
387,1100116105,52,70,115,122,57,47,246,162,241,145,45,44
388,1100116106,43,84,101,87,33,13,100,112,180,191,107,57
389,1100116107,6,6,24,19,15,4,9,8,20,24,0,7
390,1100116108,69,117,232,643,708,450,90,152,268,945,746,418
391,1100116201,18,16,103,452,613,539,0,68,210,638,877,486
392,1100116202,10,11,36,214,295,328,0,46,167,564,441,357
393,1100116203,13,10,5,2,2,0,0,0,0,0,0,15
394,1100116204,4,4,6,7,3,2,14,0,0,49,1,14
395,1100116205,24,27,12,9,1,1,0,21,25,9,15,0
396,1100116206,2,2,0,1,1,1,0,25,0,0,0,0
397,1100116207,2,3,9,5,15,12,0,0,21,0,0,13
398,1100116208,51,39,89,334,542,418,0,93,265,798,865,640
399,1100116209,10,9,23,170,277,241,15,25,47,323,270,165
400,1100116210,8,4,56,233,260,278,31,0,112,387,555,306
401,1100116211,64,112,205,155,52,24,25,103,75,99,18,0
402,1100116301,76,110,240,508,543,373,26,95,357,1467,859,363
403,1100116302,2,5,24,206,325,195,0,0,174,293,276,273
404,1100116303,11,6,60,527,779,660,80,127,1066,5237,4799,2975
405,1100116304,146,296,413,290,91,69,152,205,474,175,51,32
406,1100116305,4,3,7,7,3,2,0,21,42,15,0,0
407,1100116306,4,4,9,3,1,3,0,0,0,27,0,0
408,1100116307,8,3,4,2,0,0,0,22,37,0,1,0
409,1100116308,10,3,7,5,0,1,0,0,57,701,958,482
410,1100116311,13,14,51,226,287,183,27,1,56,643,400,356
411,1100116312,27,19,169,1097,1623,1046,29,35,423,2527,2031,1029
412,1100116318,7,2,1,1,0,0,16,15,269,1513,2276,1405
